NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInCategory::OST_MatchAll;-2000002;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MatchModel;-2000003;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MatchAnnotation;-2000004;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MatchDetail;-2000005;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MatchProfile;-2000006;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MatchSiteComponent;-2000007;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_ScheduleViewParamGroup;-2000008;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_IOSRegenerationFailure;-2000010;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Walls;-2000011;Walls
OdBm::BuiltInCategory::OST_WallsCutOutlines;-2000012;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WallsProjectionOutlines;-2000013;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Windows;-2000014;Windows
OdBm::BuiltInCategory::OST_WindowsGlassCut;-2000015;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WindowsGlassProjection;-2000016;Glass
OdBm::BuiltInCategory::OST_WindowsFrameMullionCut;-2000017;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WindowsFrameMullionProjection;-2000018;Frame/Mullion
OdBm::BuiltInCategory::OST_WindowsSillHeadCut;-2000019;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WindowsSillHeadProjection;-2000020;Sill/Head
OdBm::BuiltInCategory::OST_WindowsOpeningCut;-2000021;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_WindowsOpeningProjection;-2000022;Opening
OdBm::BuiltInCategory::OST_Doors;-2000023;Doors
OdBm::BuiltInCategory::OST_DoorsPanelCut;-2000024;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_DoorsPanelProjection;-2000025;Panel
OdBm::BuiltInCategory::OST_DoorsOpeningCut;-2000026;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_DoorsOpeningProjection;-2000027;Opening
OdBm::BuiltInCategory::OST_DoorsFrameMullionCut;-2000028;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_DoorsFrameMullionProjection;-2000029;Frame/Mullion
OdBm::BuiltInCategory::OST_DoorsGlassCut;-2000030;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_DoorsGlassProjection;-2000031;Glass
OdBm::BuiltInCategory::OST_Floors;-2000032;Floors
OdBm::BuiltInCategory::OST_FloorsCut;-2000033;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_FloorsProjection;-2000034;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Roofs;-2000035;Roofs
OdBm::BuiltInCategory::OST_RoofsCut;-2000036;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RoofsProjection;-2000037;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Ceilings;-2000038;Ceilings
OdBm::BuiltInCategory::OST_CeilingsCut;-2000039;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CeilingsProjection;-2000040;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Curves;-2000041;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_CurvesThinLines;-2000042;<Thin Lines>
OdBm::BuiltInCategory::OST_CurvesMediumLines;-2000043;<Medium Lines>
OdBm::BuiltInCategory::OST_CurvesWideLines;-2000044;<Wide Lines>
OdBm::BuiltInCategory::OST_SketchLines;-2000045;<Sketch>
