NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameterGroup::PG_IDENTITY_DATA;-5000100;Identity Data
OdBm::BuiltInParameterGroup::PG_GEOMETRY;-5000101;Dimensions
OdBm::BuiltInParameterGroup::PG_CONSTRUCTION;-5000103;Construction
OdBm::BuiltInParameterGroup::PG_GRAPHICS;-5000104;Graphics
OdBm::BuiltInParameterGroup::PG_MATERIALS;-5000105;Materials and Finishes
OdBm::BuiltInParameterGroup::PG_UNDERLAY;-5000106;Underlay
OdBm::BuiltInParameterGroup::PG_STAIR_TREADS;-5000107;Treads
OdBm::BuiltInParameterGroup::PG_STAIR_RISERS;-5000108;Risers
OdBm::BuiltInParameterGroup::PG_STAIR_STRINGERS;-5000109;Stringers
OdBm::BuiltInParameterGroup::PG_ELECTRICAL_ENGINEERING;-5000110;Electrical Engineering
OdBm::BuiltInParameterGroup::PG_PLUMBING;-5000111;Plumbing
OdBm::BuiltInParameterGroup::PG_STRUCTURAL;-5000112;Structural
OdBm::BuiltInParameterGroup::PG_MECHANICAL;-5000113;Mechanical
OdBm::BuiltInParameterGroup::PG_PHASING;-5000114;Phasing
OdBm::BuiltInParameterGroup::PG_CONSTRAINTS;-5000119;Constraints
OdBm::BuiltInParameterGroup::PG_PATTERN;-5000120;Pattern
OdBm::BuiltInParameterGroup::PG_VIEW_EXTENTS;-5000121;Extents
OdBm::BuiltInParameterGroup::PG_VIEW_CAMERA;-5000122;Camera
OdBm::BuiltInParameterGroup::PG_TEXT;-5000123;Text
OdBm::BuiltInParameterGroup::PG_ELECTRICAL_LIGHTING;-5000124;Electrical - Lighting
OdBm::BuiltInParameterGroup::PG_ELECTRICAL_LOADS;-5000125;Electrical - Loads
OdBm::BuiltInParameterGroup::PG_MECHANICAL_LOADS;-5000126;Mechanical - Loads
OdBm::BuiltInParameterGroup::PG_MECHANICAL_AIRFLOW;-5000127;Mechanical - Flow
OdBm::BuiltInParameterGroup::PG_STRUCTURAL_ANALYSIS;-5000128;Structural Analysis
OdBm::BuiltInParameterGroup::PG_ENERGY_ANALYSIS;-5000129;Energy Analysis
OdBm::BuiltInParameterGroup::PG_ELECTRICAL;-5000130;Electrical
OdBm::BuiltInParameterGroup::PG_IFC;-5000131;IFC Parameters
OdBm::BuiltInParameterGroup::PG_CURTAIN_GRID_VERT;-5000133;Vertical Grid
OdBm::BuiltInParameterGroup::PG_CURTAIN_GRID_1;-5000134;Grid 1
OdBm::BuiltInParameterGroup::PG_CURTAIN_GRID_HORIZ;-5000135;Horizontal Grid
OdBm::BuiltInParameterGroup::PG_CURTAIN_GRID_2;-5000136;Grid 2
