NAME(Used only as reminder for value);VALUE;LABEL
OdBm::ParameterType::Invalid;0;
OdBm::ParameterType::Text;1;Text
OdBm::ParameterType::Integer;2;Integer
OdBm::ParameterType::Number;3;Number
OdBm::ParameterType::Length;4;Length
OdBm::ParameterType::Area;5;Area
OdBm::ParameterType::Volume;6;Volume
OdBm::ParameterType::Angle;7;Angle
OdBm::ParameterType::URL;8;URL
OdBm::ParameterType::Material;9;Material
OdBm::ParameterType::YesNo;10;Yes/No
OdBm::ParameterType::Force;11;Force
OdBm::ParameterType::LinearForce;12;Linear Force
OdBm::ParameterType::AreaForce;13;Area Force
OdBm::ParameterType::Moment;14;Moment
OdBm::ParameterType::NumberOfPoles;15;Number of Poles
OdBm::ParameterType::FixtureUnit;16;Number
OdBm::ParameterType::FamilyType;17;ODBM_CSV_NULL
OdBm::ParameterType::LoadClassification;18;Load Classification
OdBm::ParameterType::Image;19;Image
OdBm::ParameterType::MultilineText;20;Multiline Text
OdBm::ParameterType::Custom;99;
OdBm::ParameterType::HVACDensity;107;Density
OdBm::ParameterType::HVACEnergy;108;Energy
OdBm::ParameterType::HVACFriction;109;Friction
OdBm::ParameterType::HVACPower;110;Power
OdBm::ParameterType::HVACPowerDensity;111;Power Density
OdBm::ParameterType::HVACPressure;112;Pressure
OdBm::ParameterType::HVACTemperature;113;Temperature
OdBm::ParameterType::HVACVelocity;114;Velocity
OdBm::ParameterType::HVACAirflow;115;Air Flow
OdBm::ParameterType::HVACDuctSize;116;Duct Size
OdBm::ParameterType::HVACCrossSection;117;Cross Section
OdBm::ParameterType::HVACHeatGain;118;Heat Gain
OdBm::ParameterType::ElectricalCurrent;119;Current
OdBm::ParameterType::ElectricalPotential;120;Electrical Potential
OdBm::ParameterType::ElectricalFrequency;121;Frequency
OdBm::ParameterType::ElectricalIlluminance;122;Illuminance
OdBm::ParameterType::ElectricalLuminousFlux;123;Luminous Flux
OdBm::ParameterType::ElectricalPower;124;Power
OdBm::ParameterType::HVACRoughness;125;Roughness
OdBm::ParameterType::ForceScaleFactor;130;Force scale factor
OdBm::ParameterType::LinearForceScaleFactor;131;Linear force scale factor
OdBm::ParameterType::AreaForceScaleFactor;132;Area force scale factor
OdBm::ParameterType::MomentScaleFactor;133;Moment scale factors
OdBm::ParameterType::ElectricalApparentPower;134;Apparent Power
OdBm::ParameterType::ElectricalPowerDensity;135;Power Density
OdBm::ParameterType::PipingDensity;136;Density
OdBm::ParameterType::PipingFlow;137;Flow
OdBm::ParameterType::PipingFriction;138;Friction
OdBm::ParameterType::PipingPressure;139;Pressure
OdBm::ParameterType::PipingTemperature;140;Temperature
OdBm::ParameterType::PipingVelocity;141;Velocity
OdBm::ParameterType::PipingViscosity;142;Dynamic Viscosity
OdBm::ParameterType::PipeSize;143;Pipe Size
OdBm::ParameterType::PipingRoughness;144;Roughness
OdBm::ParameterType::Stress;145;Stress
OdBm::ParameterType::UnitWeight;146;Unit Weight
OdBm::ParameterType::ThermalExpansion;147;Thermal Expansion Coefficient
OdBm::ParameterType::LinearMoment;148;Linear Moment
OdBm::ParameterType::ForcePerLength;150;Point Spring Coefficient
OdBm::ParameterType::ForceLengthPerAngle;151;Rotational Point Spring Coefficient
OdBm::ParameterType::LinearForcePerLength;152;Line Spring Coefficient
OdBm::ParameterType::LinearForceLengthPerAngle;153;Rotational Line Spring Coefficient
OdBm::ParameterType::AreaForcePerLength;154;Area Spring Coefficient
OdBm::ParameterType::PipingVolume;155;Volume
OdBm::ParameterType::HVACViscosity;156;Dynamic Viscosity
OdBm::ParameterType::HVACCoefficientOfHeatTransfer;157;Coefficient of Heat Transfer
OdBm::ParameterType::HVACAirflowDensity;158;Air Flow Density
OdBm::ParameterType::Slope;159;Slope
OdBm::ParameterType::HVACCoolingLoad;160;Cooling Load
OdBm::ParameterType::HVACCoolingLoadDividedByArea;161;Cooling Load divided by Area
OdBm::ParameterType::HVACCoolingLoadDividedByVolume;162;Cooling Load divided by Volume
OdBm::ParameterType::HVACHeatingLoad;163;Heating Load
OdBm::ParameterType::HVACHeatingLoadDividedByArea;164;Heating Load divided by Area
OdBm::ParameterType::HVACHeatingLoadDividedByVolume;165;Heating Load divided by Volume
OdBm::ParameterType::HVACAirflowDividedByVolume;166;Air Flow divided by Volume
OdBm::ParameterType::HVACAirflowDividedByCoolingLoad;167;Air Flow divided by Cooling Load
OdBm::ParameterType::HVACAreaDividedByCoolingLoad;168;Area divided by Cooling Load
OdBm::ParameterType::WireSize;169;Wire Diameter
OdBm::ParameterType::HVACSlope;170;Slope
OdBm::ParameterType::PipingSlope;171;Slope
OdBm::ParameterType::Currency;172;Currency
OdBm::ParameterType::ElectricalEfficacy;173;Efficacy
OdBm::ParameterType::ElectricalWattage;174;Wattage
OdBm::ParameterType::ColorTemperature;175;Color Temperature
OdBm::ParameterType::ElectricalLuminousIntensity;177;Luminous Intensity
OdBm::ParameterType::ElectricalLuminance;178;Luminance
OdBm::ParameterType::HVACAreaDividedByHeatingLoad;179;Area divided by Heating Load
OdBm::ParameterType::HVACFactor;180;Factor
OdBm::ParameterType::ElectricalTemperature;181;Temperature
OdBm::ParameterType::ElectricalCableTraySize;182;Cable Tray Size
OdBm::ParameterType::ElectricalConduitSize;183;Conduit Size
OdBm::ParameterType::ReinforcementVolume;184;Reinforcement Volume
OdBm::ParameterType::ReinforcementLength;185;Reinforcement Length
OdBm::ParameterType::ElectricalDemandFactor;186;Demand Factor
OdBm::ParameterType::HVACDuctInsulationThickness;187;Duct Insulation Thickness
OdBm::ParameterType::HVACDuctLiningThickness;188;Duct Lining Thickness
OdBm::ParameterType::PipeInsulationThickness;189;Pipe Insulation Thickness
OdBm::ParameterType::HVACThermalResistance;190;Thermal Resistance
OdBm::ParameterType::HVACThermalMass;191;Thermal Mass
OdBm::ParameterType::Acceleration;192;Acceleration
OdBm::ParameterType::BarDiameter;193;Bar Diameter
OdBm::ParameterType::CrackWidth;194;Crack Width
OdBm::ParameterType::DisplacementDeflection;195;Displacement/Deflection
OdBm::ParameterType::Energy;196;Energy
OdBm::ParameterType::StructuralFrequency;197;Frequency
OdBm::ParameterType::Mass;198;Mass
OdBm::ParameterType::MassPerUnitLength;199;Mass per Unit Length
OdBm::ParameterType::MomentOfInertia;200;Moment of Inertia
OdBm::ParameterType::SurfaceArea;201;Surface Area per Unit Length
OdBm::ParameterType::Period;202;Period
OdBm::ParameterType::Pulsation;203;Pulsation
OdBm::ParameterType::ReinforcementArea;204;Reinforcement Area
OdBm::ParameterType::ReinforcementAreaPerUnitLength;205;Reinforcement Area per Unit Length
OdBm::ParameterType::ReinforcementCover;206;Reinforcement Cover
OdBm::ParameterType::ReinforcementSpacing;207;Reinforcement Spacing
OdBm::ParameterType::Rotation;208;Rotation
OdBm::ParameterType::SectionArea;209;Section Area
OdBm::ParameterType::SectionDimension;210;Section Dimension
OdBm::ParameterType::SectionModulus;211;Section Modulus
OdBm::ParameterType::SectionProperty;212;Section Property
