FORGETYPEID;LABEL
autodesk.unit.unit:custom-1.0.0;ODBM_CSV_NULL
autodesk.unit.unit:meters-1.0.0;Meters
autodesk.unit.unit:centimeters-1.0.1;Centimeters
autodesk.unit.unit:millimeters-1.0.1;Millimeters
autodesk.unit.unit:feet-1.0.1;Feet
autodesk.unit.unit:feetFractionalInches-1.0.0;Feet and fractional inches
autodesk.unit.unit:fractionalInches-1.0.0;Fractional inches
autodesk.unit.unit:inches-1.0.1;Inches
autodesk.unit.unit:acres-1.0.1;Acres
autodesk.unit.unit:hectares-1.0.1;Hectares
autodesk.unit.unit:metersCentimeters-1.0.0;Meters and centimeters
autodesk.unit.unit:cubicYards-1.0.1;Cubic yards
autodesk.unit.unit:squareFeet-1.0.1;Square feet
autodesk.unit.unit:squareMeters-1.0.1;Square meters
autodesk.unit.unit:cubicFeet-1.0.1;Cubic feet
autodesk.unit.unit:cubicMeters-1.0.1;Cubic meters
autodesk.unit.unit:degrees-1.0.1;Degrees
autodesk.unit.unit:degreesMinutes-1.0.0;Degrees minutes seconds
autodesk.unit.unit:general-1.0.1;General
autodesk.unit.unit:fixed-1.0.1;Fixed
autodesk.unit.unit:percentage-1.0.1;Percentage
autodesk.unit.unit:squareInches-1.0.1;Square inches
autodesk.unit.unit:squareCentimeters-1.0.1;Square centimeters
autodesk.unit.unit:squareMillimeters-1.0.1;Square millimeters
autodesk.unit.unit:cubicInches-1.0.1;Cubic inches
autodesk.unit.unit:cubicCentimeters-1.0.1;Cubic centimeters
autodesk.unit.unit:cubicMillimeters-1.0.1;Cubic millimeters
autodesk.unit.unit:liters-1.0.1;Liters
autodesk.unit.unit:usGallons-1.0.1;US gallons
autodesk.unit.unit:kilogramsPerCubicMeter-1.0.1;Kilograms per cubic meter
autodesk.unit.unit:poundsMassPerCubicFoot-1.0.1;Pounds mass per cubic foot
autodesk.unit.unit:poundsMassPerCubicInch-1.0.1;Pounds mass per cubic inch
autodesk.unit.unit:britishThermalUnits-1.0.1;British thermal units
autodesk.unit.unit:calories-1.0.1;Calories
autodesk.unit.unit:kilocalories-1.0.1;Kilocalories
autodesk.unit.unit:joules-1.0.1;Joules
autodesk.unit.unit:kilowattHours-1.0.1;Kilowatt hours
autodesk.unit.unit:therms-1.0.1;Therms
autodesk.unit.unit:inchesOfWater60DegreesFahrenheitPer100Feet-1.0.1;Inches of water (60 °F) per 100 feet
autodesk.unit.unit:pascalsPerMeter-1.0.1;Pascals per meter
autodesk.unit.unit:watts-1.0.1;Watts
autodesk.unit.unit:kilowatts-1.0.1;Kilowatts
autodesk.unit.unit:britishThermalUnitsPerSecond-1.0.1;British thermal units per second
autodesk.unit.unit:britishThermalUnitsPerHour-1.0.1;British thermal units per hour
autodesk.unit.unit:caloriesPerSecond-1.0.1;Calories per second
autodesk.unit.unit:kilocaloriesPerSecond-1.0.1;Kilocalories per second
autodesk.unit.unit:wattsPerSquareFoot-1.0.1;Watts per square foot
autodesk.unit.unit:wattsPerSquareMeter-1.0.1;Watts per square meter
autodesk.unit.unit:inchesOfWater60DegreesFahrenheit-1.0.1;Inches of water (60 °F)
autodesk.unit.unit:pascals-1.0.1;Pascals
autodesk.unit.unit:kilopascals-1.0.1;Kilopascals
autodesk.unit.unit:megapascals-1.0.1;Megapascals
autodesk.unit.unit:poundsForcePerSquareInch-1.0.1;Pounds force per square inch
autodesk.unit.unit:inchesOfMercury32DegreesFahrenheit-1.0.1;Inches of mercury (32 °F)
autodesk.unit.unit:millimetersOfMercury-1.0.1;Millimeters of mercury
autodesk.unit.unit:atmospheres-1.0.1;Atmospheres
autodesk.unit.unit:bars-1.0.1;Bars
autodesk.unit.unit:fahrenheit-1.0.1;Fahrenheit
autodesk.unit.unit:celsius-1.0.1;Celsius
autodesk.unit.unit:kelvin-1.0.0;Kelvin
autodesk.unit.unit:rankine-1.0.1;Rankine
autodesk.unit.unit:feetPerMinute-1.0.1;Feet per minute
autodesk.unit.unit:metersPerSecond-1.0.1;Meters per second
autodesk.unit.unit:centimetersPerMinute-1.0.1;Centimeters per minute
autodesk.unit.unit:cubicFeetPerMinute-1.0.1;Cubic feet per minute
autodesk.unit.unit:litersPerSecond-1.0.1;Liters per second
autodesk.unit.unit:cubicMetersPerSecond-1.0.1;Cubic meters per second
autodesk.unit.unit:cubicMetersPerHour-1.0.1;Cubic meters per hour
autodesk.unit.unit:usGallonsPerMinute-1.0.1;US gallons per minute
autodesk.unit.unit:usGallonsPerHour-1.0.1;US gallons per hour
autodesk.unit.unit:amperes-1.0.0;Amperes
autodesk.unit.unit:kiloamperes-1.0.1;Kiloamperes
autodesk.unit.unit:milliamperes-1.0.1;Milliamperes
autodesk.unit.unit:volts-1.0.1;Volts
autodesk.unit.unit:kilovolts-1.0.1;Kilovolts
autodesk.unit.unit:millivolts-1.0.1;Millivolts
