NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::WALL_ATTR_WIDTH_PARAM;-1001000;Width
OdBm::BuiltInParameter::WALL_ATTR_HEIGHT_PARAM;-1001001;Height
OdBm::BuiltInParameter::WALL_ATTR_DEFHEIGHT_PARAM;-1001002;Default height
OdBm::BuiltInParameter::FUNCTION_PARAM;-1001006;Function
OdBm::BuiltInParameter::WALL_ATTR_ROOM_BOUNDING;-1001007;Room Bounding
OdBm::BuiltInParameter::ALLOW_AUTO_EMBED;-1001009;Automatically Embed
OdBm::BuiltInParameter::WALL_BASE_HEIGHT_PARAM;-1001102;Base height
OdBm::BuiltInParameter::WALL_HEIGHT_TYPE;-1001103;Top Constraint
OdBm::BuiltInParameter::WALL_USER_HEIGHT_PARAM;-1001105;Unconnected Height
OdBm::BuiltInParameter::WALL_BASE_CONSTRAINT;-1001107;Base Constraint
OdBm::BuiltInParameter::WALL_BASE_OFFSET;-1001108;Base Offset
OdBm::BuiltInParameter::WALL_TOP_OFFSET;-1001109;Top Offset
OdBm::BuiltInParameter::WALL_TOP_IS_ATTACHED;-1001117;Top is Attached
OdBm::BuiltInParameter::WALL_BOTTOM_IS_ATTACHED;-1001118;Base is Attached
OdBm::BuiltInParameter::WALL_STRUCTURAL_USAGE_PARAM;-1001119;Structural Usage
OdBm::BuiltInParameter::MEASURE_FROM_STRUCTURE;-1001120;Extend into wall (to core)
OdBm::BuiltInParameter::WALL_KEY_REF_PARAM;-1001122;Location Line
OdBm::BuiltInParameter::WALL_LOCATION_LINE_OFFSET_PARAM;-1001123;Location Line Offset
OdBm::BuiltInParameter::HOST_PANEL_SCHEDULE_AS_PANEL_PARAM;-1001124;Categorize as
OdBm::BuiltInParameter::DPART_ORIGINAL_CATEGORY;-1001125;Original Category
OdBm::BuiltInParameter::DPART_ORIGINAL_FAMILY;-1001126;Original Family
OdBm::BuiltInParameter::DPART_MATERIAL_ID_PARAM;-1001127;Material
OdBm::BuiltInParameter::DPART_MATERIAL_BY_ORIGINAL;-1001128;Material By Original
OdBm::BuiltInParameter::DPART_VOLUME_COMPUTED;-1001129;Volume
OdBm::BuiltInParameter::DPART_LAYER_FUNCTION;-1001130;Layer Function
OdBm::BuiltInParameter::OFFSETFACES_SHOW_SHAPE_HANDLES;-1001131;Show Shape Handles
OdBm::BuiltInParameter::DPART_ORIGINAL_TYPE;-1001132;Original Type
OdBm::BuiltInParameter::DPART_AREA_COMPUTED;-1001133;Area
OdBm::BuiltInParameter::DPART_LAYER_WIDTH;-1001134;Thickness
OdBm::BuiltInParameter::DPART_HEIGHT_COMPUTED;-1001135;Height
OdBm::BuiltInParameter::DPART_LENGTH_COMPUTED;-1001136;Length
