NAME;LABEL
23.10.00.00;Site Products
23.10.05.00;Ground Anchorages
23.10.05.10;Retaining/Stabilizing Ground Anchors
23.10.05.10.11;Components
23.10.05.10.11.11;Anchor Heads
23.10.05.10.11.12;Tendons
23.10.05.10.14;Grouted Anchors
23.10.05.10.17;Plate Anchors
23.10.05.10.21;Rock Bolts, Rock Anchors
23.10.05.10.24;Anchor Tiebacks
23.10.05.20;Earth Reinforcement Anchors
23.10.05.20.11;Soil Nails
23.10.05.99;Other Ground Anchorages
23.10.10.00;Ground Improvement Products
23.10.10.12;Land/Field Drainage
23.10.10.12.10;Piped Drainage
23.10.10.12.10.11;Land Drainage Pipes
23.10.10.12.20;Drainage Blocks
23.10.20.00;Retention Structures
23.10.20.11;Sheet Piles
23.10.20.14;Retaining Walls
23.10.20.14.10;Diaphragm Walls
23.10.20.14.10.11;Slurry Wall Membranes
23.10.20.14.20;Continuous Retaining Walls
23.10.20.14.30;Crib Walls
23.15.10.00;Pavements
23.15.10.11;Roadways and Runways
23.15.10.11.11;Complete Roadway and Runways
23.15.10.11.11.11;Portable Roadways
23.15.10.11.11.14;Helicopter Landing Pads
23.15.10.11.14;Roadway and Runway Surfacing
23.15.10.11.14.11;Antiskid Texturing
23.15.10.11.14.14;Paving Blocks, Slabs
23.15.10.11.14.14.11;Unit Pavers
23.15.10.11.14.14.11.11;Asphalt Block Pavers
23.15.10.11.14.14.11.14;Brick Pavers
23.15.10.11.14.14.11.17;Interlocking Precast Concrete Pavers
23.15.10.11.14.14.11.21;Precast Concrete Pavers
23.15.10.11.14.14.11.24;Pressed Pavers
23.15.10.11.14.14.11.27;Stone Pavers
23.15.10.11.14.17;Continuous Surface Paving's
23.15.10.11.17;Roadway and Runway Drainage
23.15.10.11.17.11;Culverts
23.15.10.11.17.11.11;Pipe Culverts
23.15.10.11.17.11.11.11;Metal Pipe – Arch Culverts
23.15.10.11.17.11.14;Concrete Culverts
23.15.10.11.17.11.14.11;Concrete Arch Buried Bridge
23.15.10.11.17.11.14.14;Concrete Arch Culverts
23.15.10.11.17.11.14.17;Concrete Box Culverts
23.15.10.11.17.11.14.21;Concrete Rigid Frame Culverts
23.15.10.11.17.14;Catch Basins
23.15.10.11.17.17;Channels
23.15.10.11.17.21;Cleanouts
23.15.10.11.21;Traffic Safety Barriers and Protections
23.15.10.11.21.11;Safety Barriers
23.15.10.11.21.11.11;Crash Barriers ( including Impact Attenuating Devices)
23.15.10.11.21.11.14;Median Barriers
23.15.10.11.21.11.17;Guardrails
23.15.10.11.21.14;Noise Barriers
23.15.10.11.21.17;Traffic Barriers
23.15.10.11.21.17.11;Delineators
23.15.10.11.21.21;Traffic Control
23.15.10.11.21.21.11;Speed Bumps
23.15.10.11.21.24;Curbs and Gutters
23.15.10.11.21.27;Cattle Guards
23.15.10.14;Roadway Monitoring and Control
23.15.10.14.11;Roadway Signage,
23.15.10.14.14;Roadway Markers
23.15.10.14.14.11;Roadway Surface Markings
23.15.10.14.14.14;Roadway Reflectors
23.15.10.14.14.17;Traffic Cones
23.15.10.14.17;Traffic Signals
23.15.10.14.21;Traffic Monitoring
23.15.10.14.21.11;Roadway Mirrors
23.15.10.14.21.14;Cameras
23.15.10.14.21.17;Detectors and Sensors
23.15.10.14.24;Parking Controls
23.15.10.14.24.11;Parking Meters
23.15.10.14.24.14;Ticket Dispensers
23.15.10.14.24.17;Coin Machine Units
23.15.10.14.24.21;Key and Card Control Units
23.15.10.14.24.24;Parking Gates
23.15.30.21;Solid Waste Disposal Plant Products
23.15.30.21.11;Bins
23.15.30.21.14;Chutes and Collectors
23.15.30.21.17;Pneumatic Waste Equipment
23.15.30.21.24;Crusher Plant
23.15.30.21.24.11;Waste Compactors and Destructors
23.15.30.24;Pollution Monitoring and Control
23.15.30.24.11;Air Pollution Monitoring Systems
23.15.30.24.14;Water Pollution Monitoring Systems
23.15.30.27;Storage Constructions
23.15.30.27.11;Tanks, Reservoirs
23.15.30.27.11.11;Elevated Storage Tanks
23.15.30.27.11.14;Ground Storage Tanks
23.15.30.27.11.17;Underground Storage Tanks
23.15.30.27.11.21;Portable Storage Tanks
23.15.30.27.11.24;Tank Lining
23.15.30.27.21;Gas Tanks and Gasholders
23.15.99.00;Other Utility and Transportation Construction Products
23.20.00.00;General Purpose Construction Accessories and Surfacing Products
23.20.15.00;Mixtures
23.20.15.11;Concrete
23.20.15.11.11;Cementitious Concrete
23.20.15.11.14;Resinous Concrete
23.20.15.11.17;Hydrocarbon Concrete
23.20.15.11.21;Low Density Concrete
23.20.15.14;Mortars
23.20.15.14.11;Portland Cement-Lime Mortars
23.20.15.14.14;Masonry Cement Mortars
23.20.15.14.17;Mortar Cements
23.20.15.14.21;Gypsum Based Mortars
23.20.15.14.24;Resinous Mortar
23.20.15.14.27;Chemical-Resistant Mortar
23.20.15.14.31;Refractory Mortar
23.20.15.14.34;Premixed Mortar
23.20.15.14.37;Surface Bonding Mortar
23.20.15.14.41;Mortar Pigments
23.20.15.17;Grouts
23.20.15.17.11;Concrete Grout
23.20.15.17.11.11;Shrink-Resistant Concrete Grout
23.20.15.17.11.14;Catalyzed Metallic Concrete Grout
23.20.15.17.11.17;Epoxy Concrete Grout
23.20.15.17.11.21;Nonmetallic Concrete Grout
23.20.15.17.14;Masonry Grout
23.20.15.17.14.11;Chemical-Resistant Masonry Grout
